train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/exploration_rate
13945,55883,-116.03235163,66,0.24044327437877655,841,540,116.59,0.0004,0.7231022522522523
14072,56389,-112.41262563000001,67,0.6061508059501648,840,544,117.44,0.0004,0.7205950450450451
14161,56748,-110.43079983,67,1.3820970058441162,840,548,115.93,0.0004,0.7188162162162162
14259,57137,-102.72259055999997,67,3.414158344268799,840,552,114.54,0.0004,0.7168887387387388
14406,57728,-102.42245313000001,68,0.38168656826019287,839,556,116.46,0.0004,0.7139603603603604
14534,58238,-104.89074956000002,69,0.41948163509368896,839,560,116.46,0.0004,0.7114333333333334
14651,58705,-105.89275542000001,69,0.8356029391288757,839,564,117.2,0.0004,0.7091193693693694
14755,59123,-103.64536476999997,70,6.419356822967529,839,568,116.72,0.0004,0.7070481981981982
14893,59674,-104.92033399999998,71,2.66249680519104,838,572,117.5,0.0004,0.704318018018018
15016,60168,-102.50994086,71,0.8673768043518066,837,576,118.05,0.0004,0.7018702702702703
15119,60577,-101.63521514000001,72,0.47418802976608276,837,580,116.41,0.0004,0.6998436936936936
15295,61284,-99.86635614,73,1.0066659450531006,836,584,118.78,0.0004,0.6963405405405405
15443,61873,-98.14991508000003,74,0.21482159197330475,835,588,118.85,0.0004,0.6934220720720721
15570,62384,-97.16950134000002,74,0.7776135802268982,834,592,118.36,0.0004,0.6908900900900901
15686,62848,-97.59592919000002,75,0.3614867329597473,833,596,118.22,0.0004,0.6885909909909909
15825,63402,-96.76813200000001,76,3.3131985664367676,833,600,118.95,0.0004,0.685845945945946
15928,63813,-95.18379377000001,76,0.15749865770339966,832,604,118.76,0.0004,0.6838094594594595
16055,64324,-92.73955067000001,77,3.069988489151001,831,608,118.93,0.0004,0.6812774774774775
16179,64820,-92.27207857000002,78,0.42145437002182007,830,612,119.04,0.0004,0.6788198198198198
16329,65420,-93.44865408,78,0.21254278719425201,830,616,120.64,0.0004,0.6758468468468469
16447,65891,-94.50954188999998,79,2.807394027709961,830,620,120.33,0.0004,0.673513063063063
16578,66416,-92.84251209000001,80,0.9177060127258301,829,624,121.56,0.0004,0.6709117117117118
16743,67074,-92.17121479999997,81,0.5464497804641724,827,628,123.86,0.0004,0.6676513513513513
16869,67580,-92.88994271999998,81,0.29154127836227417,827,632,124.76,0.0004,0.6651441441441441
17047,68289,-92.79572446000002,82,0.4700145125389099,825,636,127.99,0.0004,0.661631081081081
17162,68750,-93.85216169000002,83,0.6216398477554321,825,640,128.67,0.0004,0.6593468468468469
17311,69345,-94.85257509000002,84,0.29821375012397766,824,644,129.56,0.0004,0.6563986486486486
17427,69810,-94.39097523999999,84,0.4590263366699219,823,648,130.62,0.0004,0.6540945945945945
17545,70282,-95.15528744999997,85,0.24870850145816803,822,652,131.45,0.0004,0.6517558558558558
17689,70859,-92.31053846,86,3.7908682823181152,822,656,131.31,0.0004,0.6488968468468468
17781,71227,-87.51141058000002,86,0.43615320324897766,821,660,129.89,0.0004,0.6470734234234234
17891,71668,-86.82836852,87,0.5128627419471741,820,664,129.63,0.0004,0.6448882882882883
18054,72318,-89.05849900000001,88,0.15765663981437683,820,668,131.95,0.0004,0.6416675675675675
18152,72709,-87.71582906999998,88,0.2517884075641632,819,672,130.35,0.0004,0.6397301801801801
18262,73152,-86.46243107000001,89,0.19337831437587738,818,676,129.84,0.0004,0.6375351351351352
18432,73830,-86.00870506999998,90,0.5919051766395569,818,680,132.53,0.0004,0.6341756756756758
18553,74314,-85.00459253,90,3.1251943111419678,817,684,130.3,0.0004,0.6317774774774776
18692,74869,-83.17222031999998,91,1.8364051580429077,816,688,129.96,0.0004,0.6290274774774776
18873,75596,-85.10112671999997,92,0.22770148515701294,815,692,132.12,0.0004,0.6254252252252253
19003,76116,-83.34320165000001,93,5.741640567779541,815,696,132.68,0.0004,0.6228486486486488
19143,76676,-84.65065219,94,0.3288140892982483,814,700,132.74,0.0004,0.6200738738738738
19311,77346,-83.4875028,95,0.23368395864963531,813,704,135.33,0.0004,0.616754054054054
19479,78019,-84.43619360999999,95,0.3035096526145935,812,708,136.95,0.0004,0.6134193693693692
19575,78402,-84.02827966999999,96,0.4881425201892853,812,712,135.82,0.0004,0.6115216216216217
19935,79842,-82.73688409999998,98,0.30369341373443604,807,716,144.22,0.0004,0.6043864864864864
20096,80486,-79.89976469000001,100,1.555622935295105,804,720,145.95,0.0004,0.6011954954954954
20233,81033,-80.61249499,100,2.434183359146118,803,724,146.17,0.0004,0.5984851351351352
20384,81640,-82.1811287,101,2.7764930725097656,801,728,145.66,0.0004,0.5954774774774775
20476,82006,-81.19681714000001,102,5.755383491516113,800,732,144.26,0.0004,0.593663963963964
20568,82376,-78.81318689999999,102,0.2740204930305481,799,736,140.87,0.0004,0.5918306306306306
20920,83784,-75.73157775,105,0.6435601115226746,796,740,150.34,0.0004,0.5848540540540541
21063,84355,-71.39980941,106,0.26548975706100464,794,744,150.1,0.0004,0.5820247747747748
21222,84990,-70.94774024,107,0.25007641315460205,792,748,151.8,0.0004,0.5788783783783784
21354,85518,-67.29194538,108,3.6239490509033203,791,752,152.36,0.0004,0.5762621621621622
21532,86229,-68.23968085999999,109,1.678382158279419,788,756,153.7,0.0004,0.5727391891891892
21703,86915,-66.58878410999999,110,3.367017984390259,786,760,156.88,0.0004,0.5693400900900901
21876,87607,-65.83796288,111,1.0738754272460938,783,764,159.39,0.0004,0.5659112612612613
22053,88313,-63.46309778,112,4.034953594207764,781,768,159.95,0.0004,0.562413063063063
22207,88929,-61.86671162999999,114,0.5686675310134888,779,772,162.2,0.0004,0.5593608108108108
22406,89725,-62.61894985,115,1.016103744506836,777,776,165.73,0.0004,0.5554166666666667
22594,90479,-62.186878749999984,116,3.8368074893951416,774,780,166.49,0.0004,0.5516806306306307
22715,90962,-60.443744159999994,117,0.6238579750061035,773,784,166.48,0.0004,0.5492873873873875
23080,92422,-59.892813190000005,120,3.5254640579223633,769,788,175.53,0.0004,0.5420531531531532
23210,92941,-59.34399362000001,121,0.316116601228714,767,792,173.45,0.0004,0.5394815315315316
23378,93614,-58.61785672,122,0.27596765756607056,765,796,174.98,0.0004,0.5361468468468469
23835,95444,-56.115637330000006,125,0.6328007578849792,759,800,187.68,0.0004,0.5270792792792793
