time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/n_updates,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss
14400,469.22,293,0.0007,0.000741278228815645,14399,72000,-0.5578606128692627,469.22,245,-0.23471491038799286,1.5106983255464002e-06
14500,473.06,293,0.0007,0.0005907528684474528,14499,72500,0.24094855785369873,473.06,246,-0.2374429702758789,3.742391754713026e-06
14600,477.0,293,0.0007,-0.00022288186301011592,14599,73000,-9.993133544921875,477.0,248,-0.28300654888153076,1.7692801179691742e-07
14700,480.77,294,0.0007,-0.00019991346925962716,14699,73500,-0.6991883516311646,480.77,249,-0.3253578841686249,4.40747271568398e-06
14800,484.47,294,0.0007,-0.00018531321256887168,14799,74000,-5.573457717895508,484.47,251,-0.39414653182029724,3.41178377993856e-07
14900,485.86,294,0.0007,8.666443136462476e-06,14899,74500,0.8131245970726013,485.86,252,-0.13777819275856018,9.274808832060444e-08
15000,485.86,295,0.0007,0.00015963349142111838,14999,75000,0.5340844988822937,485.86,254,-0.20245563983917236,1.1298573099338682e-06
15100,485.86,295,0.0007,0.00010169416054850444,15099,75500,0.7676758766174316,485.86,255,-0.2706659436225891,4.235771484673023e-07
15200,485.86,295,0.0007,1.443982637283625e-05,15199,76000,0.7225666642189026,485.86,256,-0.09274909645318985,6.697489993712225e-07
15300,485.86,296,0.0007,-1.587513725098688e-05,15299,76500,0.8378293514251709,485.86,258,-0.2280939370393753,2.7625356224803e-08
15400,485.86,296,0.0007,1.1458326298452448e-05,15399,77000,0.8422545194625854,485.86,259,-0.13055549561977386,3.035413271845755e-07
15500,485.86,296,0.0007,2.7632092951535014e-06,15499,77500,0.9846823811531067,485.86,261,-0.1723599135875702,1.614680478212449e-08
15600,485.86,297,0.0007,0.0002441623364575207,15599,78000,0.5257021188735962,485.86,262,-0.3835156559944153,3.7518680073844735e-06
15700,485.86,297,0.0007,0.0019424179336056113,15699,78500,0.17634254693984985,485.86,264,-0.15038204193115234,2.9234099656605395e-06
15800,485.86,297,0.0007,0.000614932447206229,15799,79000,0.5010455846786499,485.86,265,-0.1385515034198761,1.2448756478988798e-06
15900,485.86,297,0.0007,-2.200208655267488e-06,15899,79500,0.7680221199989319,485.86,266,-0.2045048475265503,1.5890691429376602e-08
16000,485.86,298,0.0007,0.00016778000281192362,15999,80000,-0.016930699348449707,485.86,268,-0.28838640451431274,6.894732450746233e-06
16100,485.86,298,0.0007,0.0007068747072480619,16099,80500,0.3515474796295166,485.86,269,-0.16148288547992706,2.104661007251707e-06
16200,485.86,298,0.0007,-4.543678733170964e-05,16199,81000,-9.791999816894531,485.86,271,-0.24254432320594788,6.269780215006904e-07
16300,485.86,299,0.0007,-2.918455356848426e-05,16299,81500,-0.6827350854873657,485.86,272,-0.3193000257015228,2.9790681921326723e-08
16400,485.86,299,0.0007,-0.00014256137365009636,16399,82000,0.5030897855758667,485.86,273,-0.20560598373413086,1.0024523788842998e-07
16500,485.86,299,0.0007,0.0002940265694633126,16499,82500,-0.041013121604919434,485.86,275,-0.26840588450431824,2.3628701910638483e-06
16600,485.86,299,0.0007,7.864076178520918e-05,16599,83000,-0.09884524345397949,485.86,276,-0.2266637533903122,1.010834239423275e-06
16700,485.86,299,0.0007,-0.0002329122507944703,16699,83500,0.4744672179222107,485.86,278,-0.21107815206050873,1.7595012025140022e-07
16800,465.76,300,0.0007,-12.515660285949707,16799,84000,-0.0009829998016357422,465.76,279,-0.1518707424402237,7520.67822265625
16900,420.74,300,0.0007,5.893440970794472e-07,16899,84500,0.0014159083366394043,420.74,281,-0.0006930265808477998,3851.319580078125
17000,414.21,300,0.0007,0.00032405092497356236,16999,85000,-37.972251892089844,414.21,282,-0.2532704770565033,1.5502620954066515e-05
17100,404.22,300,0.0007,-0.00025088866823352873,17099,85500,-5.659036636352539,404.22,284,-0.4138820767402649,2.479902605045936e-06
17200,397.43,300,0.0007,0.00026957166846841574,17199,86000,0.005451202392578125,397.43,285,-0.4088572561740875,4.384550322811265e-07
17300,391.82,300,0.0007,-0.0006568105309270322,17299,86500,-0.020568251609802246,391.82,287,-0.2895098030567169,2.683850425455603e-06
17400,388.6,300,0.0007,-0.0007410365506075323,17399,87000,0.8444513082504272,388.6,289,-0.31897059082984924,1.5783240314704017e-06
17500,388.6,300,0.0007,-7.846739026717842e-05,17499,87500,0.8628014326095581,388.6,291,-0.34350845217704773,1.7021083920099045e-07
17600,388.6,300,0.0007,-0.0002846381685230881,17599,88000,-5.369017601013184,388.6,292,-0.38738277554512024,1.4817226201557787e-06
17700,388.6,300,0.0007,-3.576148810680024e-05,17699,88500,-41.1320915222168,388.6,294,-0.23759713768959045,1.322990328844753e-06
17800,388.6,300,0.0007,-0.00048207538202404976,17799,89000,-78.15879821777344,388.6,296,-0.3389725685119629,7.701921163061343e-07
17900,388.6,300,0.0007,0.0001871097629191354,17899,89500,-4.607348442077637,388.6,298,-0.15826921164989471,1.3126409612596035e-06
18000,388.6,300,0.0007,3.455751357250847e-05,17999,90000,-2.473484516143799,388.6,299,-0.19921132922172546,1.1534547184055555e-06
18100,388.6,300,0.0007,-0.000398664124077186,18099,90500,-6.441648960113525,388.6,301,-0.4067800045013428,1.1665281363093527e-06
18200,388.6,300,0.0007,-0.0003413866215851158,18199,91000,-12.23503589630127,388.6,303,-0.39767739176750183,1.130206555899349e-06
18300,388.6,300,0.0007,1.7113896319642663e-05,18299,91500,0.5203396677970886,388.6,304,-0.20455370843410492,1.7533311336137558e-07
