rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
30.43,964,23825,0.7638963963963965,504,47,30.43,5931,0.008111820556223392,0.0004
30.55,968,23958,0.7625783783783784,504,47,30.55,5964,0.020253250375390053,0.0004
31.95,972,24187,0.760309009009009,503,47,31.95,6021,0.05554114282131195,0.0004
30.94,976,24283,0.7593576576576577,504,48,30.94,6045,0.019825536757707596,0.0004
30.15,980,24398,0.758218018018018,504,48,30.15,6074,0.0017471539322286844,0.0004
31.03,984,24601,0.7562063063063063,503,48,31.03,6125,0.00417023990303278,0.0004
30.6,988,24671,0.7555126126126126,503,48,30.6,6142,0.005573831964284182,0.0004
32.52,992,24937,0.7528765765765766,503,49,32.52,6209,0.03024844266474247,0.0004
32.72,996,25025,0.7520045045045045,503,49,32.72,6231,0.00851693470031023,0.0004
32.5,1000,25177,0.7504981981981982,503,50,32.5,6269,0.0012703014072030783,0.0004
32.33,1004,25293,0.7493486486486487,503,50,32.33,6298,0.04115646332502365,0.0004
32.36,1008,25397,0.748318018018018,503,50,32.36,6324,0.005130902864038944,0.0004
32.61,1012,25516,0.7471387387387387,503,50,32.61,6353,0.021021835505962372,0.0004
32.57,1016,25645,0.7458603603603603,503,50,32.57,6386,0.027793634682893753,0.0004
32.32,1020,25765,0.7446711711711712,502,51,32.32,6416,0.0012184844817966223,0.0004
33.43,1024,25955,0.7427882882882884,502,51,33.43,6463,0.0013669990003108978,0.0004
33.2,1028,26100,0.7413513513513513,501,52,33.2,6499,0.01767680235207081,0.0004
34.51,1032,26299,0.7393792792792793,501,52,34.51,6549,0.0319320373237133,0.0004
33.89,1036,26405,0.7383288288288288,500,52,33.89,6576,0.03256046026945114,0.0004
33.5,1040,26491,0.7374765765765766,500,52,33.5,6597,0.007659809663891792,0.0004
33.51,1044,26602,0.7363765765765766,500,53,33.51,6625,0.008486676961183548,0.0004
33.77,1048,26697,0.7354351351351351,500,53,33.77,6649,0.004028295166790485,0.0004
33.2,1052,26807,0.734345045045045,499,53,33.2,6676,0.010409831069409847,0.0004
33.2,1056,26910,0.7333243243243244,498,53,33.2,6702,0.010279501788318157,0.0004
32.91,1060,27007,0.7323630630630631,498,54,32.91,6726,0.020931541919708252,0.0004
32.39,1064,27064,0.7317981981981982,498,54,32.39,6740,0.017399193719029427,0.0004
31.67,1068,27125,0.7311936936936937,498,54,31.67,6756,0.005766957998275757,0.0004
31.59,1072,27346,0.7290036036036036,497,54,31.59,6811,0.018663272261619568,0.0004
31.45,1076,27428,0.7281909909909909,497,55,31.45,6831,0.027447637170553207,0.0004
31.21,1080,27519,0.7272891891891892,497,55,31.21,6854,0.03998445346951485,0.0004
30.65,1084,27666,0.7258324324324325,496,55,30.65,6891,0.016071656718850136,0.0004
31.62,1088,27833,0.7241774774774775,496,56,31.62,6933,0.02254287712275982,0.0004
29.84,1092,27921,0.7233054054054054,496,56,29.84,6955,0.027769848704338074,0.0004
29.54,1096,27979,0.7227306306306307,496,56,29.54,6969,0.010148204863071442,0.0004
29.75,1100,28152,0.7210162162162163,495,56,29.75,7012,0.0031074450816959143,0.0004
29.77,1104,28270,0.7198468468468469,495,57,29.77,7042,0.006639908533543348,0.0004
30.69,1108,28466,0.7179045045045045,495,57,30.69,7091,0.021090403199195862,0.0004
30.66,1112,28582,0.716754954954955,494,57,30.66,7120,0.04306285083293915,0.0004
30.51,1116,28696,0.7156252252252253,494,58,30.51,7148,0.027924109250307083,0.0004
30.6,1120,28825,0.7143468468468468,493,58,30.6,7181,0.007350594270974398,0.0004
30.03,1124,28958,0.7130288288288289,493,58,30.03,7214,0.011620255187153816,0.0004
29.46,1128,29046,0.7121567567567568,493,58,29.46,7236,0.03076484240591526,0.0004
29.3,1132,29229,0.7103432432432433,492,59,29.3,7282,0.026029136031866074,0.0004
28.87,1136,29292,0.7097189189189188,492,59,28.87,7297,0.0016540763899683952,0.0004
29.15,1140,29406,0.7085891891891892,492,59,29.15,7326,0.0037556570023298264,0.0004
29.29,1144,29531,0.7073504504504504,492,60,29.29,7357,0.03315843269228935,0.0004
30.95,1148,29792,0.704763963963964,491,60,30.95,7422,0.04734578728675842,0.0004
30.64,1152,29871,0.7039810810810812,491,60,30.64,7442,0.055683985352516174,0.0004
31.19,1156,30029,0.7024153153153154,491,61,31.19,7482,0.038557641208171844,0.0004
30.95,1160,30102,0.7016918918918919,491,61,30.95,7500,0.08722462505102158,0.0004
31.92,1164,30256,0.7001657657657658,491,61,31.92,7538,0.03536013513803482,0.0004
32.89,1168,30414,0.6985999999999999,491,61,32.89,7578,0.04116179794073105,0.0004
32.26,1172,30572,0.6970342342342342,490,62,32.26,7617,0.006659350357949734,0.0004
32.1,1176,30638,0.6963801801801802,490,62,32.1,7634,0.04665528982877731,0.0004
32.56,1180,30775,0.6950225225225226,490,62,32.56,7668,0.01016814261674881,0.0004
32.68,1184,30934,0.6934468468468469,489,63,32.68,7708,0.03333896026015282,0.0004
32.05,1188,31038,0.6924162162162162,489,63,32.05,7734,0.0491911880671978,0.0004
32.54,1192,31175,0.6910585585585586,489,63,32.54,7768,0.01003692951053381,0.0004
33.27,1196,31306,0.6897603603603604,489,64,33.27,7801,0.018460428342223167,0.0004
32.72,1200,31424,0.6885909909909909,489,64,32.72,7830,0.026893548667430878,0.0004
